941,0,2,4,2,6,7,1,16,1
0,1121,2,2,1,4,5,0,0,0
13,4,863,48,12,18,20,18,32,4
5,2,31,893,2,16,9,18,27,7
13,0,7,4,872,7,15,9,8,47
14,4,6,66,24,717,27,4,19,11
12,6,4,1,7,11,911,1,5,0
1,7,14,9,16,5,1,949,3,23
32,0,7,24,8,26,9,4,848,16
5,6,4,15,32,8,0,28,15,896
